workerID,taskID,response,goldLabel,taskContent
AXBQF8RALCIGV,961,0,1,seiler report miss march num2 found four day later marsh near campu apart
A1DCEOFAUIDY58,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
A1Q4VUJBMY78YR,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
A18941IO2ZZWW6,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
A11GX90QFWDLMM,961,1,1,seiler report miss march num2 found four day later marsh near campu apart
A19IBSKBTABMR3,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
AEX5NCH03LWSG,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A17RPF5ZMO75GW,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A15L6WGIK3VU7N,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A3U7T47F498T1P,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
AXBQF8RALCIGV,1814,0,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A1DCEOFAUIDY58,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A1Q4VUJBMY78YR,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A18941IO2ZZWW6,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A11GX90QFWDLMM,1814,1,1,afghanistan 's first post-taliban elect delay second time amid increas violenc toward voter offici announc friday
A19IBSKBTABMR3,134,1,0,bugbear viru infect comput run window oper system unpatch version internet explor num
AEX5NCH03LWSG,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A17RPF5ZMO75GW,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A15L6WGIK3VU7N,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A3U7T47F498T1P,134,1,0,bugbear viru infect comput run window oper system unpatch version internet explor num
AXBQF8RALCIGV,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A1DCEOFAUIDY58,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A1Q4VUJBMY78YR,134,1,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A18941IO2ZZWW6,134,1,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A11GX90QFWDLMM,134,0,0,bugbear viru infect comput run window oper system unpatch version internet explor num
A19IBSKBTABMR3,294,1,1,three-day g8 summit take place scotland
AEX5NCH03LWSG,294,1,1,three-day g8 summit take place scotland
A17RPF5ZMO75GW,294,1,1,three-day g8 summit take place scotland
A15L6WGIK3VU7N,294,1,1,three-day g8 summit take place scotland
A3U7T47F498T1P,294,1,1,three-day g8 summit take place scotland
AXBQF8RALCIGV,294,1,1,three-day g8 summit take place scotland
A1DCEOFAUIDY58,294,1,1,three-day g8 summit take place scotland
A1Q4VUJBMY78YR,294,1,1,three-day g8 summit take place scotland
A18941IO2ZZWW6,294,1,1,three-day g8 summit take place scotland
A11GX90QFWDLMM,294,1,1,three-day g8 summit take place scotland
A19IBSKBTABMR3,103,0,0,white hous ignor zinni 's opposit iraq war
AEX5NCH03LWSG,103,0,0,white hous ignor zinni 's opposit iraq war
A17RPF5ZMO75GW,103,0,0,white hous ignor zinni 's opposit iraq war
A15L6WGIK3VU7N,103,0,0,white hous ignor zinni 's opposit iraq war
A3U7T47F498T1P,103,0,0,white hous ignor zinni 's opposit iraq war
AXBQF8RALCIGV,103,0,0,white hous ignor zinni 's opposit iraq war
A1DCEOFAUIDY58,103,0,0,white hous ignor zinni 's opposit iraq war
A1Q4VUJBMY78YR,103,1,0,white hous ignor zinni 's opposit iraq war
A18941IO2ZZWW6,103,1,0,white hous ignor zinni 's opposit iraq war
A11GX90QFWDLMM,103,1,0,white hous ignor zinni 's opposit iraq war
A19IBSKBTABMR3,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
AEX5NCH03LWSG,303,0,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A17RPF5ZMO75GW,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A15L6WGIK3VU7N,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A3U7T47F498T1P,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
AXBQF8RALCIGV,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A1DCEOFAUIDY58,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A1Q4VUJBMY78YR,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A18941IO2ZZWW6,303,1,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A11GX90QFWDLMM,303,0,1,teenag sensat wayn rooney power england quarter-fin euro num4 two goal monday 's num-num defeat croatia join last eight champion franc beat switzerland num-num
A19IBSKBTABMR3,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
AEX5NCH03LWSG,2139,0,0,turkey not favor unit state use turkish base conflict not affect turkey
A17RPF5ZMO75GW,2139,0,0,turkey not favor unit state use turkish base conflict not affect turkey
A15L6WGIK3VU7N,2139,0,0,turkey not favor unit state use turkish base conflict not affect turkey
A3U7T47F498T1P,2139,0,0,turkey not favor unit state use turkish base conflict not affect turkey
AXBQF8RALCIGV,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
A1DCEOFAUIDY58,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
A1Q4VUJBMY78YR,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
A18941IO2ZZWW6,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
A11GX90QFWDLMM,2139,1,0,turkey not favor unit state use turkish base conflict not affect turkey
A19IBSKBTABMR3,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
AEX5NCH03LWSG,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A17RPF5ZMO75GW,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A15L6WGIK3VU7N,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A3U7T47F498T1P,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
AXBQF8RALCIGV,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A1DCEOFAUIDY58,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A1Q4VUJBMY78YR,82,0,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A18941IO2ZZWW6,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A11GX90QFWDLMM,82,1,1,lo angel laker won 3rd straight nba championship wednesday night beat new jersey net num3-num3 sweep num-gam championship seri
A19IBSKBTABMR3,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
AEX5NCH03LWSG,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A17RPF5ZMO75GW,938,1,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A15L6WGIK3VU7N,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A3U7T47F498T1P,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
AXBQF8RALCIGV,938,1,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A1DCEOFAUIDY58,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A1Q4VUJBMY78YR,938,1,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A18941IO2ZZWW6,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A11GX90QFWDLMM,938,0,0,terrorist iraq kill american soldier held hostag sinc earli april u.s. govern not chang polici iraq
A19IBSKBTABMR3,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
AEX5NCH03LWSG,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A17RPF5ZMO75GW,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A15L6WGIK3VU7N,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A3U7T47F498T1P,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
AXBQF8RALCIGV,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A1DCEOFAUIDY58,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A1Q4VUJBMY78YR,965,1,0,rio arrest student april interf anoth offic answer polic call loud parti
A18941IO2ZZWW6,965,1,0,rio arrest student april interf anoth offic answer polic call loud parti
A11GX90QFWDLMM,965,0,0,rio arrest student april interf anoth offic answer polic call loud parti
A19IBSKBTABMR3,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
AEX5NCH03LWSG,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A17RPF5ZMO75GW,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A15L6WGIK3VU7N,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A3U7T47F498T1P,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
AXBQF8RALCIGV,278,0,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A1DCEOFAUIDY58,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A1Q4VUJBMY78YR,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A18941IO2ZZWW6,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A11GX90QFWDLMM,278,1,1,council prohibit travel outsid haiti offic haitian militari polic major particip septemb num4 coup
A19IBSKBTABMR3,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
AEX5NCH03LWSG,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A17RPF5ZMO75GW,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A15L6WGIK3VU7N,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A3U7T47F498T1P,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
AXBQF8RALCIGV,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A1DCEOFAUIDY58,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A1Q4VUJBMY78YR,2129,1,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A18941IO2ZZWW6,2129,1,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A11GX90QFWDLMM,2129,0,0,vancouv wildlif conserv offic shot kill urban coyot kitsilano park anim bit child attack pet
A19IBSKBTABMR3,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
AEX5NCH03LWSG,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A17RPF5ZMO75GW,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A15L6WGIK3VU7N,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A3U7T47F498T1P,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
AXBQF8RALCIGV,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A1DCEOFAUIDY58,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A1Q4VUJBMY78YR,1847,1,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A18941IO2ZZWW6,1847,0,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A11GX90QFWDLMM,1847,1,0,crude oil price jump record level yesterday alreadi jitteri intern oil market react turmoil russian 's largest petroleum produc
A19IBSKBTABMR3,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
AEX5NCH03LWSG,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A17RPF5ZMO75GW,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A15L6WGIK3VU7N,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A3U7T47F498T1P,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
AXBQF8RALCIGV,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A1DCEOFAUIDY58,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A1Q4VUJBMY78YR,133,1,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A18941IO2ZZWW6,133,0,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A11GX90QFWDLMM,133,0,1,internet-born infect incapacit ten thousand comput tuesday snarl compani network frustrat home user spread across globe
A19IBSKBTABMR3,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
AEX5NCH03LWSG,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A17RPF5ZMO75GW,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A15L6WGIK3VU7N,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A3U7T47F498T1P,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
AXBQF8RALCIGV,321,0,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A1DCEOFAUIDY58,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A1Q4VUJBMY78YR,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A18941IO2ZZWW6,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A11GX90QFWDLMM,321,1,1,german chancellor gerhard schroeder accus u.k. prime minist toni blair italian prime minist silvio berlusconi alli european conserv parti blockad german french-back candid belgian prime minist guy verhofstadt
A19IBSKBTABMR3,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
AEX5NCH03LWSG,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A17RPF5ZMO75GW,325,0,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A15L6WGIK3VU7N,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A3U7T47F498T1P,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
AXBQF8RALCIGV,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A1DCEOFAUIDY58,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A1Q4VUJBMY78YR,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A18941IO2ZZWW6,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A11GX90QFWDLMM,325,1,1,across contin voter voic discont cast ballot opposit fring parti num3 million eu citizen elig vote not bother even cast protest ballot
A19IBSKBTABMR3,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
AEX5NCH03LWSG,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A17RPF5ZMO75GW,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A15L6WGIK3VU7N,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A3U7T47F498T1P,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
AXBQF8RALCIGV,936,1,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A1DCEOFAUIDY58,936,0,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A1Q4VUJBMY78YR,936,1,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A18941IO2ZZWW6,936,1,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A11GX90QFWDLMM,936,1,0,britney spear get hitch second time year time profession dancer father whose girlfriend three year pregnant
A19IBSKBTABMR3,1848,1,0,msf unnerv taliban accus member spi u.
AEX5NCH03LWSG,1848,1,0,msf unnerv taliban accus member spi u.
A17RPF5ZMO75GW,1848,0,0,msf unnerv taliban accus member spi u.
A15L6WGIK3VU7N,1848,0,0,msf unnerv taliban accus member spi u.
A3U7T47F498T1P,1848,0,0,msf unnerv taliban accus member spi u.
AXBQF8RALCIGV,1848,1,0,msf unnerv taliban accus member spi u.
A1DCEOFAUIDY58,1848,0,0,msf unnerv taliban accus member spi u.
A1Q4VUJBMY78YR,1848,1,0,msf unnerv taliban accus member spi u.
A18941IO2ZZWW6,1848,0,0,msf unnerv taliban accus member spi u.
A11GX90QFWDLMM,1848,1,0,msf unnerv taliban accus member spi u.
A2K5ICP43ML4PW,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
A15L6WGIK3VU7N,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
AHPSMRLKAEJV,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
A25QX7IUS1KI5E,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
A2RV3FIO3IAZS,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
ATP8SOHDM9QOY,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
A18941IO2ZZWW6,2122,1,0,iraq claim tuesday shot second u.s. spi plane less month
A14JQX7IFAICP0,2122,1,0,iraq claim tuesday shot second u.s. spi plane less month
A1GD3MQELM1R9M,2122,0,0,iraq claim tuesday shot second u.s. spi plane less month
A11GX90QFWDLMM,2122,1,0,iraq claim tuesday shot second u.s. spi plane less month
A2K5ICP43ML4PW,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A15L6WGIK3VU7N,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
AHPSMRLKAEJV,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A25QX7IUS1KI5E,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A2RV3FIO3IAZS,1816,1,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
ATP8SOHDM9QOY,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A18941IO2ZZWW6,1816,1,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A14JQX7IFAICP0,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A1GD3MQELM1R9M,1816,0,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A11GX90QFWDLMM,1816,1,0,unum british govern gather evid determin whether genocid commit darfur region sudan estim num2 num3 peopl kill million fled home
A2K5ICP43ML4PW,1325,0,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A15L6WGIK3VU7N,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
AHPSMRLKAEJV,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A25QX7IUS1KI5E,1325,0,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A2RV3FIO3IAZS,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
ATP8SOHDM9QOY,1325,0,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A18941IO2ZZWW6,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A14JQX7IFAICP0,1325,0,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A1GD3MQELM1R9M,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A11GX90QFWDLMM,1325,1,0,turn editor-in-chief al jumhoria newspap appoint ambassador iraq india
A2K5ICP43ML4PW,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A15L6WGIK3VU7N,2123,0,0,us patriot batteri shoot iraqi missil kuwait
AHPSMRLKAEJV,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A25QX7IUS1KI5E,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A2RV3FIO3IAZS,2123,0,0,us patriot batteri shoot iraqi missil kuwait
ATP8SOHDM9QOY,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A18941IO2ZZWW6,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A14JQX7IFAICP0,2123,1,0,us patriot batteri shoot iraqi missil kuwait
A1GD3MQELM1R9M,2123,0,0,us patriot batteri shoot iraqi missil kuwait
A11GX90QFWDLMM,2123,1,0,us patriot batteri shoot iraqi missil kuwait
A2K5ICP43ML4PW,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A15L6WGIK3VU7N,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
AHPSMRLKAEJV,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A25QX7IUS1KI5E,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A2RV3FIO3IAZS,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
ATP8SOHDM9QOY,1333,0,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A18941IO2ZZWW6,1333,1,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A14JQX7IFAICP0,1333,1,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A1GD3MQELM1R9M,1333,1,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A11GX90QFWDLMM,1333,1,0,prosecutor-gener explain statement receiv agenc franc press investig judg 's request sent today monday feder polic author respons decid whether not forward request british author
A2K5ICP43ML4PW,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A15L6WGIK3VU7N,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
AHPSMRLKAEJV,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A25QX7IUS1KI5E,1216,0,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A2RV3FIO3IAZS,1216,0,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
ATP8SOHDM9QOY,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A18941IO2ZZWW6,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A14JQX7IFAICP0,1216,0,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A1GD3MQELM1R9M,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
A11GX90QFWDLMM,1216,1,1,airport not open without go-ahead palestinian author gaza point moroccan deleg overse run airport
